"Var1"	"Var2"	"value"
"191"	"Bacilli"	"Bacteroidia"	-0.564935064935065
"192"	"Eubacterium"	"Bacteroidia"	0.258609541272712
"193"	"Alpha_1_avg"	"Bacteroidales"	0.5
"194"	"Alpha_3_avg"	"Bacteroidales"	-0.464285714285714
"195"	"Alpha_4_avg"	"Bacteroidales"	0.571428571428571
"196"	"Alpha_9_avg"	"Bacteroidales"	-1
"197"	"Beta_6_avg"	"Bacteroidales"	-0.736408119705036
"198"	"Delta_10_avg"	"Bacteroidales"	-0.109090909090909
"199"	"Delta_7_avg"	"Bacteroidales"	-0.103016952098421
"200"	"Delta_8_avg"	"Bacteroidales"	0.5
"201"	"Gamma_2_avg"	"Bacteroidales"	-0.6
"202"	"Undefined_avg"	"Bacteroidales"	0.0502288341474945
"203"	"Bacteroidetes"	"Bacteroidales"	1
"204"	"Bacteroidia"	"Bacteroidales"	1
"205"	"Prevotellaceae"	"Bacteroidales"	0.466233766233766
"206"	"Prevotella"	"Bacteroidales"	0.466233766233766
"207"	"Collinsella"	"Bacteroidales"	-0.43609022556391
"208"	"Bacteroides"	"Bacteroidales"	0.154545454545455
"209"	"Bacilli"	"Bacteroidales"	-0.564935064935065
"210"	"Eubacterium"	"Bacteroidales"	0.258609541272712
"211"	"Alpha_1_avg"	"Prevotellaceae"	0.4
"212"	"Alpha_4_avg"	"Prevotellaceae"	0.535714285714286
"213"	"Alpha_9_avg"	"Prevotellaceae"	-0.9
"214"	"Beta_6_avg"	"Prevotellaceae"	-0.343099237589846
"215"	"Delta_10_avg"	"Prevotellaceae"	-0.127272727272727
"216"	"Delta_7_avg"	"Prevotellaceae"	0.13097869623942
"217"	"Delta_8_avg"	"Prevotellaceae"	0.5
"218"	"Gamma_2_avg"	"Prevotellaceae"	-0.8
"219"	"Undefined_avg"	"Prevotellaceae"	0.0273975458986334
"220"	"Bacteroidetes"	"Prevotellaceae"	0.466233766233766
"221"	"Bacteroidia"	"Prevotellaceae"	0.466233766233766
"222"	"Bacteroidales"	"Prevotellaceae"	0.466233766233766
"223"	"Prevotella"	"Prevotellaceae"	1
"224"	"Collinsella"	"Prevotellaceae"	-0.230075187969925
"225"	"Bacteroides"	"Prevotellaceae"	-0.64025974025974
"226"	"Bacilli"	"Prevotellaceae"	-0.327272727272727
"227"	"Eubacterium"	"Prevotellaceae"	0.0552306809250766
"228"	"Alpha_1_avg"	"Prevotella"	0.4
"229"	"Alpha_4_avg"	"Prevotella"	0.535714285714286
"230"	"Alpha_9_avg"	"Prevotella"	-0.9
"231"	"Beta_6_avg"	"Prevotella"	-0.343099237589846
"232"	"Delta_10_avg"	"Prevotella"	-0.127272727272727
"233"	"Delta_7_avg"	"Prevotella"	0.13097869623942
"234"	"Delta_8_avg"	"Prevotella"	0.5
"235"	"Gamma_2_avg"	"Prevotella"	-0.8
"236"	"Undefined_avg"	"Prevotella"	0.0273975458986334
"237"	"Bacteroidetes"	"Prevotella"	0.466233766233766
"238"	"Bacteroidia"	"Prevotella"	0.466233766233766
"239"	"Bacteroidales"	"Prevotella"	0.466233766233766
"240"	"Prevotellaceae"	"Prevotella"	1
"241"	"Collinsella"	"Prevotella"	-0.230075187969925
"242"	"Bacteroides"	"Prevotella"	-0.64025974025974
"243"	"Bacilli"	"Prevotella"	-0.327272727272727
"244"	"Eubacterium"	"Prevotella"	0.0552306809250766
"245"	"Alpha_1_avg"	"Collinsella"	0.1
"246"	"Alpha_3_avg"	"Collinsella"	-0.257142857142857
"247"	"Alpha_4_avg"	"Collinsella"	0.142857142857143
"248"	"Alpha_9_avg"	"Collinsella"	0.6
"249"	"Beta_6_avg"	"Collinsella"	-0.19047619047619
"250"	"Delta_10_avg"	"Collinsella"	-0.209090909090909
"251"	"Delta_7_avg"	"Collinsella"	0.302055527226765
"252"	"Delta_8_avg"	"Collinsella"	-1
"253"	"Gamma_2_avg"	"Collinsella"	0.5
"254"	"Undefined_avg"	"Collinsella"	0.121953486663821
"255"	"Bacteroidetes"	"Collinsella"	-0.43609022556391
"256"	"Bacteroidia"	"Collinsella"	-0.43609022556391
"257"	"Bacteroidales"	"Collinsella"	-0.43609022556391
"258"	"Prevotellaceae"	"Collinsella"	-0.230075187969925
"259"	"Prevotella"	"Collinsella"	-0.230075187969925
"260"	"Bacteroides"	"Collinsella"	-0.0842105263157895
"261"	"Bacilli"	"Collinsella"	0.354887218045113
"262"	"Eubacterium"	"Collinsella"	-0.0383747286963484
"263"	"Alpha_1_avg"	"Bacteroides"	-0.2
"264"	"Alpha_3_avg"	"Bacteroides"	0.357142857142857
"265"	"Alpha_4_avg"	"Bacteroides"	-0.464285714285714
"266"	"Alpha_9_avg"	"Bacteroides"	0.1
"267"	"Beta_6_avg"	"Bacteroides"	0.175733755838702
"268"	"Delta_10_avg"	"Bacteroides"	0.0636363636363636
"269"	"Delta_7_avg"	"Bacteroides"	-0.0279617441409999
"270"	"Delta_8_avg"	"Bacteroides"	-0.5
"271"	"Gamma_2_avg"	"Bacteroides"	1
"272"	"Undefined_avg"	"Bacteroides"	-0.0365300611981778
"273"	"Bacteroidetes"	"Bacteroides"	0.154545454545455
"274"	"Bacteroidia"	"Bacteroides"	0.154545454545455
"275"	"Bacteroidales"	"Bacteroides"	0.154545454545455
"276"	"Prevotellaceae"	"Bacteroides"	-0.64025974025974
"277"	"Prevotella"	"Bacteroides"	-0.64025974025974
"278"	"Collinsella"	"Bacteroides"	-0.0842105263157895
"279"	"Bacilli"	"Bacteroides"	0.025974025974026
"280"	"Eubacterium"	"Bacteroides"	0.00714749988442168
"281"	"Alpha_1_avg"	"Bacilli"	-0.6
"282"	"Alpha_3_avg"	"Bacilli"	-0.0714285714285714
"283"	"Alpha_4_avg"	"Bacilli"	-0.214285714285714
"284"	"Alpha_9_avg"	"Bacilli"	0.6
"285"	"Beta_6_avg"	"Bacilli"	-0.276153044889389
"286"	"Delta_10_avg"	"Bacilli"	-0.00909090909090909
"287"	"Delta_7_avg"	"Bacilli"	-0.292862478108367
"288"	"Delta_8_avg"	"Bacilli"	-0.5
"289"	"Gamma_2_avg"	"Bacilli"	-0.2
"290"	"Undefined_avg"	"Bacilli"	-0.237445397788156
"291"	"Bacteroidetes"	"Bacilli"	-0.564935064935065
"292"	"Bacteroidia"	"Bacilli"	-0.564935064935065
"293"	"Bacteroidales"	"Bacilli"	-0.564935064935065
"294"	"Prevotellaceae"	"Bacilli"	-0.327272727272727
"295"	"Prevotella"	"Bacilli"	-0.327272727272727
"296"	"Collinsella"	"Bacilli"	0.354887218045113
"297"	"Bacteroides"	"Bacilli"	0.025974025974026
"298"	"Eubacterium"	"Bacilli"	-0.0246913632370931
"299"	"Alpha_1_avg"	"Eubacterium"	-0.2
"300"	"Alpha_3_avg"	"Eubacterium"	0.107142857142857
"301"	"Alpha_4_avg"	"Eubacterium"	-0.678571428571429
"302"	"Alpha_9_avg"	"Eubacterium"	-0.2
"303"	"Beta_6_avg"	"Eubacterium"	-0.294117647058824
"304"	"Delta_10_avg"	"Eubacterium"	-0.336363636363636
"305"	"Delta_7_avg"	"Eubacterium"	-0.110456553755523
"306"	"Delta_8_avg"	"Eubacterium"	1
"307"	"Gamma_2_avg"	"Eubacterium"	0.3
"308"	"Undefined_avg"	"Eubacterium"	0.61098558139379
"309"	"Bacteroidetes"	"Eubacterium"	0.258609541272712
"310"	"Bacteroidia"	"Eubacterium"	0.258609541272712
"311"	"Bacteroidales"	"Eubacterium"	0.258609541272712
"312"	"Prevotellaceae"	"Eubacterium"	0.0552306809250766
"313"	"Prevotella"	"Eubacterium"	0.0552306809250766
"314"	"Collinsella"	"Eubacterium"	-0.0383747286963484
"315"	"Bacteroides"	"Eubacterium"	0.00714749988442168
"316"	"Bacilli"	"Eubacterium"	-0.0246913632370931
