"Var1"	"Var2"	"value"
"168"	"Alpha_4_avg"	"Gamma_2_avg"	-1
"169"	"Beta_6_avg"	"Gamma_2_avg"	0.5
"170"	"Delta_10_avg"	"Gamma_2_avg"	0.6
"171"	"Delta_7_avg"	"Gamma_2_avg"	0.8
"172"	"Undefined_avg"	"Gamma_2_avg"	0.5
"173"	"Waist.circumference"	"Undefined_avg"	0.557083433272212
"174"	"Diastolic.BP"	"Undefined_avg"	-0.0182650305990889
"175"	"Glucose"	"Undefined_avg"	-0.18014289186428
"176"	"TG"	"Undefined_avg"	0.160183485758671
"177"	"HDL"	"Undefined_avg"	-0.491992134830205
"178"	"Alpha_1_avg"	"Undefined_avg"	0.8
"179"	"Alpha_3_avg"	"Undefined_avg"	0.5
"180"	"Alpha_4_avg"	"Undefined_avg"	-0.6
"181"	"Alpha_9_avg"	"Undefined_avg"	0.359092423229804
"182"	"Beta_6_avg"	"Undefined_avg"	0.9
"183"	"Delta_10_avg"	"Undefined_avg"	-0.0285714285714286
"184"	"Delta_7_avg"	"Undefined_avg"	0.0958101009530607
"185"	"Delta_8_avg"	"Undefined_avg"	-0.5
"186"	"Gamma_2_avg"	"Undefined_avg"	0.5
