	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55
O-152	0.7172498100241187	0.8968586225075201	0.948785046728972	0.9993018384919712	1.0	0.982694768029089	0.9971473728846229	0.7782933903220882	0.9988916392655263	0.8028631776578268	0.0	0.9939667174965192	1.0	0.999844364032528	0.9996113486202876	0.9999219207495608	0.999530993512077	0.9978143782686754	1.0	0.9955609980101026	0.9373793016114225	0.9998436889409926
O-39	0.9928856311307535	0.8740339344407924	0.9951388888888889	0.996661101836394	1.0	0.9983930211202938	0.9802060189860634	0.9957501062473438	0.9967089024189567	0.9997736788502886	0.9939667174965192	0.0	0.9844961240310077	0.9817448524729356	1.0	0.9987027027027027	1.0	0.9991364421416234	0.9930974978429681	0.9828860365616492	0.15957346418797774	0.9995652173913043
O-418	1.0	0.9997026022304832	0.9788273615635179	1.0	1.0	1.0	0.7326968973747017	1.0	1.0	1.0	1.0	0.9844961240310077	0.0	0.3743016759776536	1.0	1.0	1.0	1.0	0.9230769230769231	0.8360655737704918	1.0	1.0
O-420	1.0	0.9997055359246172	0.9752895752895753	1.0	1.0	1.0	0.5185185185185185	1.0	0.9987593052109182	1.0	0.999844364032528	0.9817448524729356	0.3743016759776536	0.0	1.0	1.0	1.0	1.0	0.9532163742690059	0.6779911373707533	1.0	1.0
O-434	1.0	1.0	1.0	0.9662921348314607	0.901840490797546	1.0	1.0	1.0	1.0	0.9927289252442627	0.9996113486202876	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.9575070821529745	1.0	0.926829268292683
O-445	1.0	0.9985087980912616	1.0	0.991701244813278	1.0	0.9831771208844028	0.995	1.0	0.9986893840104849	1.0	0.9999219207495608	0.9987027027027027	1.0	1.0	1.0	0.0	1.0	0.9753086419753086	0.9529411764705882	0.8815566835871405	1.0	1.0
OMC-124	1.0	0.9982027856821926	1.0	1.0	1.0	0.9970958373668926	0.9838274932614556	0.998329853862213	0.9986639946559787	0.9995301855766971	0.999530993512077	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9715302491103203	0.9980056506564733	1.0
OMC-125	1.0	0.9985103530463281	1.0	0.9274193548387096	1.0	0.9990403071017274	0.995085995085995	0.997507270461155	1.0	1.0	0.9978143782686754	0.9991364421416234	1.0	1.0	1.0	0.9753086419753086	1.0	0.0	0.9782608695652174	1.0	0.9996695853295886	1.0
OMC-126	1.0	0.9994044960547863	0.9950819672131147	0.9761904761904762	1.0	1.0	0.9708029197080292	1.0	0.9986987638256344	1.0	1.0	0.9930974978429681	0.9230769230769231	0.9532163742690059	1.0	0.9529411764705882	1.0	0.9782608695652174	0.0	0.9867109634551495	1.0	1.0
OMC-288	1.0	0.9831095112834003	0.9791425260718424	0.9841688654353562	0.9646017699115044	0.9362975630611372	0.5899672846237731	0.9855128702625793	0.9892315222711698	0.9691859254632521	0.9955609980101026	0.9828860365616492	0.8360655737704918	0.6779911373707533	0.9575070821529745	0.8815566835871405	0.9715302491103203	1.0	0.9867109634551495	0.0	0.9829346335517294	1.0
OMC-446	0.9966348850252383	0.791292001893043	1.0	0.9996780943183647	1.0	0.9494720221059904	0.9874450721908349	0.8487790080388291	0.9949319818618299	0.9863521154221095	0.9373793016114225	0.15957346418797774	1.0	1.0	1.0	1.0	0.9980056506564733	0.9996695853295886	1.0	0.9829346335517294	0.0	0.9993356585284836
OMC-55	0.9995745586045522	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999530626613471	0.9998436889409926	0.9995652173913043	1.0	1.0	0.926829268292683	1.0	1.0	1.0	1.0	1.0	0.9993356585284836	0.0
