	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55
O-152	0.28181818181818186	0.873015873015873	0.48360655737704916	0.9375	1.0	0.8978102189781022	0.9290780141843972	0.8425196850393701	0.9098360655737705	0.38983050847457623	0.0	0.8489208633093526	1.0	0.992	0.9918032786885246	0.9915966386554622	0.990909090909091	0.9469026548672567	1.0	0.9078014184397163	0.7899159663865546	0.9912280701754386
O-39	0.8706896551724138	0.7462686567164178	0.9051724137931034	0.9315068493150684	1.0	0.9310344827586207	0.7432432432432432	0.8133333333333334	0.9130434782608696	0.9923664122137404	0.8489208633093526	0.0	0.7307692307692308	0.7169811320754718	1.0	0.9491525423728814	1.0	0.9661016949152542	0.8823529411764706	0.7848101265822784	0.5901639344262295	0.9821428571428571
O-418	1.0	0.9787234042553191	0.8625	1.0	1.0	1.0	0.6428571428571428	1.0	1.0	1.0	1.0	0.7307692307692308	0.0	0.11764705882352944	1.0	1.0	1.0	1.0	0.7647058823529411	0.6666666666666667	1.0	1.0
O-420	1.0	0.9795918367346939	0.8658536585365854	1.0	1.0	1.0	0.6590909090909092	1.0	0.975	1.0	0.992	0.7169811320754718	0.11764705882352944	0.0	1.0	1.0	1.0	1.0	0.7894736842105263	0.6521739130434783	1.0	1.0
O-434	1.0	1.0	1.0	0.8611111111111112	0.6666666666666667	1.0	1.0	1.0	1.0	0.9325842696629214	0.9918032786885246	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.9074074074074074	1.0	0.8235294117647058
O-445	1.0	0.8717948717948718	1.0	0.972972972972973	1.0	0.7954545454545454	0.9807692307692307	1.0	0.9705882352941176	1.0	0.9915966386554622	0.9491525423728814	1.0	1.0	1.0	0.0	1.0	0.95	0.8666666666666667	0.8085106382978724	1.0	1.0
OMC-124	1.0	0.9705882352941176	1.0	1.0	1.0	0.9767441860465116	0.9767441860465116	0.9743589743589743	0.96	0.9878048780487805	0.990909090909091	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9555555555555556	0.9722222222222222	1.0
OMC-125	1.0	0.9761904761904762	1.0	0.7241379310344828	1.0	0.96	0.9803921568627451	0.9787234042553191	1.0	1.0	0.9469026548672567	0.9661016949152542	1.0	1.0	1.0	0.95	1.0	0.0	0.9333333333333333	1.0	0.9772727272727273	1.0
OMC-126	1.0	0.9736842105263158	0.9620253164556962	0.96875	1.0	1.0	0.8837209302325582	1.0	0.9655172413793104	1.0	1.0	0.8823529411764706	0.7647058823529411	0.7894736842105263	1.0	0.8666666666666667	1.0	0.9333333333333333	0.0	0.9148936170212766	1.0	1.0
OMC-288	1.0	0.7419354838709677	0.8899082568807339	0.9253731343283582	0.8913043478260869	0.7014925373134329	0.5737704918032787	0.8472222222222222	0.8870967741935484	0.875	0.9078014184397163	0.7848101265822784	0.6666666666666667	0.6521739130434783	0.9074074074074074	0.8085106382978724	0.9555555555555556	1.0	0.9148936170212766	0.0	0.8405797101449275	1.0
OMC-446	0.9047619047619048	0.4545454545454546	1.0	0.9836065573770492	1.0	0.796875	0.8153846153846154	0.6481481481481481	0.7708333333333334	0.9158878504672897	0.7899159663865546	0.5901639344262295	1.0	1.0	1.0	1.0	0.9722222222222222	0.9772727272727273	1.0	0.8405797101449275	0.0	0.975
OMC-55	0.9882352941176471	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9883720930232558	0.9912280701754386	0.9821428571428571	1.0	1.0	0.8235294117647058	1.0	1.0	1.0	1.0	1.0	0.975	0.0
