sample	sum_crasslike	average_crasslike	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
O-39	3.661623409	1.341478051	-0.180930364	-0.513006073	-1.694610363	-2.578662489	-0.180930364	-3.656865265	-0.542948228	-1.694098543	-2.578662489	-0.180930364	-0.542948228	-1.694098543	-2.578662489	-1.694098543	-2.578662489	-4.111259039	-1.69821022	-1.198287886	-2.333528727	-4.525783736	-4.924453039	-2.578662489	-2.793702342	-4.111259039	-1.198287886	-2.333528727	-4.525783736
O-418	1.748188027	-0.571957584	-0.084880814	-0.945497004	-1.274803166	-4.567030709	-0.084880814	-2.781784688	-0.954701671	-3.139790803	-4.567030709	-0.084880814	-0.954701671	-3.139790803	-4.567030709	-3.139790803	-4.567030709	NA	-2.162280914	-2.581463723	-4.214670165	NA	-4.169411331	-4.567030709	-2.359614874	NA	-2.581463723	-4.214670165	NA
O-420	2.089905111	-0.230240988	-0.196578772	-0.455965029	-1.998518156	-3.012306481	-0.196578772	-3.389724272	-0.464055756	-2.21811084	-3.012306481	-0.196578772	-0.464055756	-2.21811084	-3.012306481	-2.21811084	-3.012306481	NA	-2.143832673	-1.173051473	-2.263118872	NA	-4.503070352	-3.012306481	-2.179385664	NA	-1.173051473	-2.263118872	NA
O-434	2.181843588	-0.138302535	-0.211005456	-0.45209284	-1.518373602	-3.346276285	-0.211005456	-2.850671865	-0.456159275	-2.725733129	-3.346276285	-0.211005456	-0.456159275	-2.725733129	-3.346276285	-2.725733129	-3.346276285	NA	-2.429250703	-1.03346459	-4.53165267	NA	-4.30980392	-3.346276285	-3.753762468	NA	-1.03346459	-4.53165267	NA
O-445	1.568201724	-0.751945771	-0.613712228	-0.180344184	-1.077749568	-2.870918804	-0.613712228	-2.780742234	-0.185353192	-2.228141592	-2.870918804	-0.613712228	-0.185353192	-2.228141592	-2.870918804	-2.228141592	-2.870918804	-4.638272164	-1.867959435	-0.864142085	-4.036212173	NA	-2.867222732	-2.870918804	-3.175676923	-4.638272164	-0.864142085	-4.036212173	NA
OMC-125	1.643452676	-0.676694261	-0.370356487	-0.378448558	-0.896889765	-3.473981392	-0.370356487	-3.072281725	-0.384814143	-2.280615175	-3.473981392	-0.370356487	-0.384814143	-2.280615175	-3.473981392	-2.280615175	-3.473981392	NA	-2.285481221	-1.505295815	-2.280615175	-4.835647144	-2.556956015	-3.473981392	-3.79431666	NA	-1.505295815	-2.280615175	-4.835647144
OMC-126	1.681241237	-0.638905184	-0.393936851	-0.280171895	-1.546052267	-2.563311269	-0.393936851	-2.463236705	-0.314348312	-1.440587615	-2.563311269	-0.393936851	-0.314348312	-1.440587615	-2.563311269	-1.440587615	-2.563311269	-4.185752404	-1.525384645	-1.295337866	-4.247951552	-1.92278716	-1.715460154	-2.563311269	-3.379691095	-4.185752404	-1.295337866	-4.247951552	-1.92278716
OMC-288	2.743509765	0.423363855	-0.294216755	-0.359731782	-1.282820294	-3.129005341	-0.294216755	-3.01564869	-0.366695485	-2.223067569	-3.129005341	-0.294216755	-0.366695485	-2.223067569	-3.129005341	-2.223067569	-3.129005341	NA	-1.818927311	-1.020487886	-1.928711873	-3.606126596	NA	-3.129005341	-4.583359493	NA	-1.020487886	-1.928711873	-3.606126596
OMC-446	3.778802204	1.458655976	-0.450302543	-0.229887309	-1.650207551	-2.1477593	-0.450302543	-2.888677657	-0.236710758	-2.102946996	-2.1477593	-0.450302543	-0.236710758	-2.102946996	-2.1477593	-2.102946996	-2.1477593	-4.563837353	-1.649501675	-1.563700087	-3.625992602	NA	-1.85147576	-2.1477593	-3.032365922	-4.563837353	-1.563700087	-3.625992602	NA
OMC-124	0.903089987	-1.417056435	-0.07580108	-0.849675983	-1.877590484	-3.491797924	-0.07580108	-3.952528763	-0.856526892	-2.67760157	-3.491797924	-0.07580108	-0.856526892	-2.67760157	-3.491797924	-2.67760157	-3.491797924	NA	-2.689287328	-1.478717511	-1.678370914	NA	-4.906771272	-3.491797924	-3.368952177	NA	-1.478717511	-1.678370914	NA
