"Var1"	"Var2"	"value"
"191"	"Bacteroidia"	"Bacteroidetes"	1
"192"	"Bacteroidales"	"Bacteroidetes"	1
"193"	"Prevotellaceae"	"Bacteroidetes"	0.466233766233766
"194"	"Prevotella"	"Bacteroidetes"	0.466233766233766
"195"	"Collinsella"	"Bacteroidetes"	-0.43609022556391
"196"	"Bacteroides"	"Bacteroidetes"	0.154545454545455
"197"	"Bacilli"	"Bacteroidetes"	-0.564935064935065
"198"	"Eubacterium"	"Bacteroidetes"	0.258609541272712
"199"	"Alpha_sum"	"Bacteroidia"	0.125
"200"	"Beta_sum"	"Bacteroidia"	-0.736408119705036
"201"	"Delta_sum"	"Bacteroidia"	-0.115789473684211
"202"	"Gamma_sum"	"Bacteroidia"	-0.6
"203"	"Undefined_sum"	"Bacteroidia"	0.0502288341474945
"204"	"Alpha_avg"	"Bacteroidia"	0.125
"205"	"Beta_avg"	"Bacteroidia"	-0.736408119705036
"206"	"Delta_avg"	"Bacteroidia"	-0.115789473684211
"207"	"Gamma_avg"	"Bacteroidia"	-0.6
"208"	"Undefined_avg"	"Bacteroidia"	0.0502288341474945
"209"	"Bacteroidetes"	"Bacteroidia"	1
"210"	"Bacteroidales"	"Bacteroidia"	1
"211"	"Prevotellaceae"	"Bacteroidia"	0.466233766233766
"212"	"Prevotella"	"Bacteroidia"	0.466233766233766
"213"	"Collinsella"	"Bacteroidia"	-0.43609022556391
"214"	"Bacteroides"	"Bacteroidia"	0.154545454545455
"215"	"Bacilli"	"Bacteroidia"	-0.564935064935065
"216"	"Eubacterium"	"Bacteroidia"	0.258609541272712
"217"	"Alpha_sum"	"Bacteroidales"	0.125
"218"	"Beta_sum"	"Bacteroidales"	-0.736408119705036
"219"	"Delta_sum"	"Bacteroidales"	-0.115789473684211
"220"	"Gamma_sum"	"Bacteroidales"	-0.6
"221"	"Undefined_sum"	"Bacteroidales"	0.0502288341474945
"222"	"Alpha_avg"	"Bacteroidales"	0.125
"223"	"Beta_avg"	"Bacteroidales"	-0.736408119705036
"224"	"Delta_avg"	"Bacteroidales"	-0.115789473684211
"225"	"Gamma_avg"	"Bacteroidales"	-0.6
"226"	"Undefined_avg"	"Bacteroidales"	0.0502288341474945
"227"	"Bacteroidetes"	"Bacteroidales"	1
"228"	"Bacteroidia"	"Bacteroidales"	1
"229"	"Prevotellaceae"	"Bacteroidales"	0.466233766233766
"230"	"Prevotella"	"Bacteroidales"	0.466233766233766
"231"	"Collinsella"	"Bacteroidales"	-0.43609022556391
"232"	"Bacteroides"	"Bacteroidales"	0.154545454545455
"233"	"Bacilli"	"Bacteroidales"	-0.564935064935065
"234"	"Eubacterium"	"Bacteroidales"	0.258609541272712
"235"	"Alpha_sum"	"Prevotellaceae"	0.135714285714286
"236"	"Beta_sum"	"Prevotellaceae"	-0.343099237589846
"237"	"Delta_sum"	"Prevotellaceae"	0.0075187969924812
"238"	"Gamma_sum"	"Prevotellaceae"	-0.8
"239"	"Undefined_sum"	"Prevotellaceae"	0.0273975458986334
"240"	"Alpha_avg"	"Prevotellaceae"	0.135714285714286
"241"	"Beta_avg"	"Prevotellaceae"	-0.343099237589846
"242"	"Delta_avg"	"Prevotellaceae"	0.0075187969924812
"243"	"Gamma_avg"	"Prevotellaceae"	-0.8
"244"	"Undefined_avg"	"Prevotellaceae"	0.0273975458986334
"245"	"Bacteroidetes"	"Prevotellaceae"	0.466233766233766
"246"	"Bacteroidia"	"Prevotellaceae"	0.466233766233766
"247"	"Bacteroidales"	"Prevotellaceae"	0.466233766233766
"248"	"Prevotella"	"Prevotellaceae"	1
"249"	"Collinsella"	"Prevotellaceae"	-0.230075187969925
"250"	"Bacteroides"	"Prevotellaceae"	-0.64025974025974
"251"	"Bacilli"	"Prevotellaceae"	-0.327272727272727
"252"	"Eubacterium"	"Prevotellaceae"	0.0552306809250766
"253"	"Alpha_sum"	"Prevotella"	0.135714285714286
"254"	"Beta_sum"	"Prevotella"	-0.343099237589846
"255"	"Delta_sum"	"Prevotella"	0.0075187969924812
"256"	"Gamma_sum"	"Prevotella"	-0.8
"257"	"Undefined_sum"	"Prevotella"	0.0273975458986334
"258"	"Alpha_avg"	"Prevotella"	0.135714285714286
"259"	"Beta_avg"	"Prevotella"	-0.343099237589846
"260"	"Delta_avg"	"Prevotella"	0.0075187969924812
"261"	"Gamma_avg"	"Prevotella"	-0.8
"262"	"Undefined_avg"	"Prevotella"	0.0273975458986334
"263"	"Bacteroidetes"	"Prevotella"	0.466233766233766
"264"	"Bacteroidia"	"Prevotella"	0.466233766233766
"265"	"Bacteroidales"	"Prevotella"	0.466233766233766
"266"	"Prevotellaceae"	"Prevotella"	1
"267"	"Collinsella"	"Prevotella"	-0.230075187969925
"268"	"Bacteroides"	"Prevotella"	-0.64025974025974
"269"	"Bacilli"	"Prevotella"	-0.327272727272727
"270"	"Eubacterium"	"Prevotella"	0.0552306809250766
"271"	"Alpha_sum"	"Collinsella"	-0.0417582417582418
"272"	"Beta_sum"	"Collinsella"	-0.19047619047619
"273"	"Delta_sum"	"Collinsella"	0.264912280701754
"274"	"Gamma_sum"	"Collinsella"	0.5
"275"	"Undefined_sum"	"Collinsella"	0.121953486663821
"276"	"Alpha_avg"	"Collinsella"	-0.0417582417582418
"277"	"Beta_avg"	"Collinsella"	-0.19047619047619
"278"	"Delta_avg"	"Collinsella"	0.264912280701754
"279"	"Gamma_avg"	"Collinsella"	0.5
"280"	"Undefined_avg"	"Collinsella"	0.121953486663821
"281"	"Bacteroidetes"	"Collinsella"	-0.43609022556391
"282"	"Bacteroidia"	"Collinsella"	-0.43609022556391
"283"	"Bacteroidales"	"Collinsella"	-0.43609022556391
"284"	"Prevotellaceae"	"Collinsella"	-0.230075187969925
"285"	"Prevotella"	"Collinsella"	-0.230075187969925
"286"	"Bacteroides"	"Collinsella"	-0.0842105263157895
"287"	"Bacilli"	"Collinsella"	0.354887218045113
"288"	"Eubacterium"	"Collinsella"	-0.0383747286963484
"289"	"Alpha_sum"	"Bacteroides"	0.0714285714285714
"290"	"Beta_sum"	"Bacteroides"	0.175733755838702
"291"	"Delta_sum"	"Bacteroides"	0.0210526315789474
"292"	"Gamma_sum"	"Bacteroides"	1
"293"	"Undefined_sum"	"Bacteroides"	-0.0365300611981778
"294"	"Alpha_avg"	"Bacteroides"	0.0714285714285714
"295"	"Beta_avg"	"Bacteroides"	0.175733755838702
"296"	"Delta_avg"	"Bacteroides"	0.0210526315789474
"297"	"Gamma_avg"	"Bacteroides"	1
"298"	"Undefined_avg"	"Bacteroides"	-0.0365300611981778
"299"	"Bacteroidetes"	"Bacteroides"	0.154545454545455
"300"	"Bacteroidia"	"Bacteroides"	0.154545454545455
"301"	"Bacteroidales"	"Bacteroides"	0.154545454545455
"302"	"Prevotellaceae"	"Bacteroides"	-0.64025974025974
"303"	"Prevotella"	"Bacteroides"	-0.64025974025974
"304"	"Collinsella"	"Bacteroides"	-0.0842105263157895
"305"	"Bacilli"	"Bacteroides"	0.025974025974026
"306"	"Eubacterium"	"Bacteroides"	0.00714749988442168
"307"	"Alpha_sum"	"Bacilli"	-0.1
"308"	"Beta_sum"	"Bacilli"	-0.276153044889389
"309"	"Delta_sum"	"Bacilli"	-0.198496240601504
"310"	"Gamma_sum"	"Bacilli"	-0.2
"311"	"Undefined_sum"	"Bacilli"	-0.237445397788156
"312"	"Alpha_avg"	"Bacilli"	-0.1
"313"	"Beta_avg"	"Bacilli"	-0.276153044889389
"314"	"Delta_avg"	"Bacilli"	-0.198496240601504
"315"	"Gamma_avg"	"Bacilli"	-0.2
"316"	"Undefined_avg"	"Bacilli"	-0.237445397788156
"317"	"Bacteroidetes"	"Bacilli"	-0.564935064935065
"318"	"Bacteroidia"	"Bacilli"	-0.564935064935065
"319"	"Bacteroidales"	"Bacilli"	-0.564935064935065
"320"	"Prevotellaceae"	"Bacilli"	-0.327272727272727
"321"	"Prevotella"	"Bacilli"	-0.327272727272727
"322"	"Collinsella"	"Bacilli"	0.354887218045113
"323"	"Bacteroides"	"Bacilli"	0.025974025974026
"324"	"Eubacterium"	"Bacilli"	-0.0246913632370931
"325"	"Alpha_sum"	"Eubacterium"	-0.150134108207386
"326"	"Beta_sum"	"Eubacterium"	-0.294117647058824
"327"	"Delta_sum"	"Eubacterium"	-0.213614155760865
"328"	"Gamma_sum"	"Eubacterium"	0.3
"329"	"Undefined_sum"	"Eubacterium"	0.61098558139379
"330"	"Alpha_avg"	"Eubacterium"	-0.150134108207386
"331"	"Beta_avg"	"Eubacterium"	-0.294117647058824
"332"	"Delta_avg"	"Eubacterium"	-0.213614155760865
"333"	"Gamma_avg"	"Eubacterium"	0.3
"334"	"Undefined_avg"	"Eubacterium"	0.61098558139379
"335"	"Bacteroidetes"	"Eubacterium"	0.258609541272712
"336"	"Bacteroidia"	"Eubacterium"	0.258609541272712
"337"	"Bacteroidales"	"Eubacterium"	0.258609541272712
"338"	"Prevotellaceae"	"Eubacterium"	0.0552306809250766
"339"	"Prevotella"	"Eubacterium"	0.0552306809250766
"340"	"Collinsella"	"Eubacterium"	-0.0383747286963484
"341"	"Bacteroides"	"Eubacterium"	0.00714749988442168
"342"	"Bacilli"	"Eubacterium"	-0.0246913632370931
