Taxa_ID	Grupos presentes	Familia	Genero	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-125	OMC-126	OMC-288	OMC-446
ALPHA-1_HvCF_F2_ms_2	NW O	Alpha	Alpha_1	87	0	14	0	0	0	0	0	46	129	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_A11_ms_1	NW O	Alpha	Alpha_1	64	0	10	0	0	0	0	0	46	133	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844000_ms_1	NW O	Alpha	Alpha_1	86	0	10	0	0	0	0	0	43	139	0	0	0	0	0	0	0	0	0
ALPHA-1_SRR073438_s_1	NW O	Alpha	Alpha_1	94	0	5	0	0	0	0	0	72	111	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844022_ms_1	NW O	Alpha	Alpha_1	92	0	15	0	0	0	0	0	83	129	0	0	0	0	0	0	0	0	0
ALPHA-1_SRR4295172_ms_8	NW O	Alpha	Alpha_1	80	0	28	0	0	0	0	0	49	196	0	0	0	0	0	0	0	0	0
ALPHA-1_JQ995537.1_Uncultured_phage_crAssphage_complete_genome	NW O	Alpha	Alpha_1	120	0	6	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR843979_ms_2	NW O	Alpha	Alpha_1	406	0	6	0	0	0	0	0	120	157	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844038_ms_2	NW O	Alpha	Alpha_1	59	0	6	0	0	0	0	0	52	237	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844045_ms_1	NW O	Alpha	Alpha_1	289	0	10	0	0	0	0	0	131	174	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844018_ms_1	NW O	Alpha	Alpha_1	76	0	8	0	0	0	0	0	67	242	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844017_ms_1	NW O	Alpha	Alpha_1	80	0	7	0	0	0	0	0	68	250	0	0	0	0	0	0	0	0	0
ALPHA-1_SRR073434_s_1	NW O	Alpha	Alpha_1	84	0	14	0	0	0	0	0	97	290	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844044_ms_3	NW O	Alpha	Alpha_1	272	0	8	0	0	0	0	0	170	233	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844035_ms_4	NW O	Alpha	Alpha_1	138	0	17	0	0	0	0	0	98	437	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844054_ms_2	NW O	Alpha	Alpha_1	104	0	27	0	0	0	0	0	167	532	0	0	0	0	0	0	0	0	0
ALPHA-4_HvCF_E12_ms_1	NW O	Alpha	Alpha_4	0	0	0	15	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0
ALPHA-4_ERR844016_ms_2	NW O	Alpha	Alpha_4	0	0	0	59	22	0	2	0	0	0	2	0	0	0	0	0	0	0	0
DELTA-7_ERR844077_ms_2	NW O	Delta	Delta_7	0	7	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GAMMA-2_Sib1_ms_4	NW O	Gamma	Gamma_2	1	0	0	1	0	0	0	0	0	36	3	0	0	0	0	0	0	0	0
BETA-6_HvCF_E3_ms_3	NW O	Beta	Beta_6	1	0	0	0	0	0	1	0	0	30	0	0	0	0	0	0	0	0	0
GAMMA-2_HvCF_B6_ms_3	NW O	Gamma	Gamma_2	2	0	0	0	0	0	0	0	0	41	3	0	0	0	0	0	0	0	0
ALPHA-4_Sib2_ms_2	NW O	Alpha	Alpha_4	0	0	0	16	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_HvCF_D5_ms_4	NW O	Alpha	Alpha_4	0	0	0	2	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ALPHA-4_ERR844044_ms_2	NW O	Alpha	Alpha_4	0	0	0	5	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ALPHA-4_cs_ms_45_1	NW O	Alpha	Alpha_4	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0
DELTA-7_ERR844046_ms_1	NW O OMC	Delta	Delta_7	0	141	0	0	11	2	343	1	3	1169	1	0	0	0	0	0	0	1	31
DELTA-7_Inf125_s_2	NW O OMC	Delta	Delta_7	0	60	0	0	44	3	1377	1	1	164	0	0	0	0	0	0	0	8	184
DELTA-7_ERR844054_ms_1	NW O OMC	Delta	Delta_7	0	136	0	0	13	5	486	1	2	477	0	0	0	0	0	0	0	8	70
DELTA-7_eld298-t0_s_4_1	NW O OMC	Delta	Delta_7	0	183	0	0	19	5	371	2	6	611	0	0	0	0	0	0	0	5	72
DELTA-7_ERR844061_ms_3	NW O OMC	Delta	Delta_7	0	169	0	0	22	6	397	2	5	650	0	0	0	0	0	0	0	3	74
DELTA-7_ERR844016_ms_1	NW O OMC	Delta	Delta_7	0	396	0	0	8	0	334	1	43	2383	0	0	0	0	0	0	0	3	51
DELTA-7_ERR843978_ms_1	NW O OMC	Delta	Delta_7	0	108	0	0	8	2	159	0	1	435	0	0	0	0	0	0	0	3	21
DELTA-7_ERR844029_ms_1	NW O OMC	Delta	Delta_7	0	288	0	0	7	3	235	0	8	763	0	0	0	0	0	0	0	6	59
DELTA-7_eld235-t6_s_1_1	NW O OMC	Delta	Delta_7	0	50	0	0	53	4	1334	3	0	184	0	0	0	0	0	0	0	11	167
DELTA-10_HvCF_A4_ms_1	NW O OMC	Delta	Delta_10	0	0	1	0	0	11	0	0	0	0	5	2	9	0	0	0	1	12	0
DELTA-10_ERR844002_ms_2	NW O OMC	Delta	Delta_10	0	0	4	0	0	14	0	0	0	0	2	1	15	0	0	0	1	15	0
DELTA-10_SRR073438_s_6	NW O OMC	Delta	Delta_10	0	0	1	0	0	31	0	0	0	0	12	17	22	0	0	0	1	11	0
DELTA-7_HvCF_D4_ms_4	NW O OMC	Delta	Delta_7	0	77	0	0	33	0	765	0	1	649	0	0	0	0	0	0	0	4	90
DELTA-10_cs_ms_18_1	NW O OMC	Delta	Delta_10	0	0	0	0	0	5	0	0	0	0	1	2	4	0	0	0	1	15	0
DELTA-7_cs_ms_17_1	NW O OMC	Delta	Delta_7	0	49	0	0	36	6	1259	0	0	258	0	0	0	0	0	0	0	4	161
DELTA-7_HvCF_E4_ms_4	NW O OMC	Delta	Delta_7	0	0	0	0	0	2	0	0	0	0	8	0	0	0	1	1	7	0	0
DELTA-7_HvCF_C12_ms_7	NW O OMC	Delta	Delta_7	0	5	0	0	0	0	9	0	0	0	1	0	0	0	0	13	0	0	1
DELTA-7_SRX020504_s_3	NW O OMC	Delta	Delta_7	0	1396	0	0	0	1	2	1	0	2	17	0	0	0	0	0	0	0	21
DELTA-10_ERR844043_ms_3	NW O OMC	Delta	Delta_10	0	1	1	0	0	10	0	0	0	0	2	7	7	0	0	0	0	9	0
DELTA-10_ERR844071_ms_2	NW O OMC	Delta	Delta_10	0	0	1	0	0	5	0	0	0	0	1	1	3	0	0	0	0	5	0
DELTA-10_ERR844018_ms_4	NW O OMC	Delta	Delta_10	0	0	3	0	0	11	0	0	0	0	2	2	2	0	0	0	0	49	0
DELTA-10_ERR843977_ms_1	NW O OMC	Delta	Delta_10	0	0	1	0	0	10	0	0	0	0	1	1	7	0	0	0	0	10	0
DELTA-10_ERR844072_ms_1	NW O OMC	Delta	Delta_10	0	0	1	0	0	14	0	0	0	0	2	3	7	0	0	0	0	17	0
DELTA-10_ERR844047_ms_2	NW O OMC	Delta	Delta_10	0	0	1	0	0	22	0	0	0	0	4	5	7	0	0	0	0	26	0
DELTA-10_ERR844030_ms_1	NW O OMC	Delta	Delta_10	0	0	2	0	0	16	0	0	0	0	3	4	10	0	0	0	0	22	0
DELTA-10_ERR844035_ms_1	NW O OMC	Delta	Delta_10	0	0	1	0	0	13	0	0	0	0	3	8	14	0	0	0	0	13	0
DELTA-7_SRR4295172_ms_4	NW O OMC	Delta	Delta_7	0	2	0	3	0	0	0	1	0	0	5	0	0	0	1	0	37	0	0
DELTA-7_err843926_ms_1_1	NW O OMC	Delta	Delta_7	0	193	0	0	1	0	4	0	0	1	13	0	0	0	0	0	0	0	11
DELTA-10_HvCF_B2_ms_1	NW O OMC	Delta	Delta_10	0	0	0	0	0	4	0	0	0	0	2	1	4	0	0	0	0	8	0
DELTA-10_cs_ms_25_1	NW O OMC	Delta	Delta_10	0	0	0	0	0	3	0	0	0	0	2	1	4	0	0	0	0	11	0
DELTA-7_eld195-t0_s_1_1	NW O OMC	Delta	Delta_7	0	75	0	0	0	0	0	1	0	1	678	0	0	0	0	0	0	0	759
DELTA-7_ERR843993_ms_1	NW O OMC	Delta	Delta_7	0	1	0	0	311	0	0	0	0	1	0	0	0	0	4	0	0	4	0
DELTA-7_ERR844059_ms_1	NW O OMC	Delta	Delta_7	0	180	0	0	1	0	4	0	0	0	12	0	0	0	0	0	0	0	10
DELTA-7_SRR073435_s_1	NW O OMC	Delta	Delta_7	0	2210	0	0	0	1	2	0	0	0	47	0	0	0	0	0	0	0	54
DELTA-7_ERR844029_ms_2	NW O OMC	Delta	Delta_7	0	84	0	0	0	2	2	0	0	0	905	0	0	0	0	0	0	0	898
GAMMA-2_HvCF_C1_ms_5	NW O OMC	Gamma	Gamma_2	1	0	0	1	0	0	0	0	0	31	5	0	0	0	0	0	0	0	2
ALPHA-9_ERR975151_s_1	NW O OMC	Alpha	Alpha_9	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	34	0
ALPHA-9_ERR975093_s_1	NW O OMC	Alpha	Alpha_9	0	0	0	1	0	0	0	0	7	0	0	0	0	1	0	0	0	23	0
ALPHA-9_ERR975207_s_1	NW O OMC	Alpha	Alpha_9	0	0	0	1	0	0	0	0	6	0	0	0	0	2	0	0	0	29	0
ALPHA-9_Fdyn_ms_11	NW O OMC	Alpha	Alpha_9	0	0	0	1	0	0	0	0	23	0	0	0	0	4	0	0	0	51	0
DELTA-10_ERR844058_ms_4	NW O OMC	Delta	Delta_10	0	0	0	0	0	8	0	0	0	0	0	1	5	0	0	0	0	10	0
DELTA-7_ERR844036_ms_3	NW O OMC	Delta	Delta_7	0	0	0	0	293	0	0	0	0	0	1	0	0	0	5	0	0	17	0
DELTA-7_eld251-t3_s_2_1	NW O OMC	Delta	Delta_7	0	417	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	17
DELTA-7_Sib2_ms_1	NW O OMC	Delta	Delta_7	0	85	0	0	0	0	0	3	0	0	581	0	0	0	0	0	0	0	740
DELTA-7_HvCF_A10_ms_8	NW O OMC	Delta	Delta_7	0	69	0	0	0	0	0	3	0	0	699	0	0	0	0	0	0	0	751
DELTA-7_ERR844002_ms_1	NW O OMC	Delta	Delta_7	0	64	0	0	0	0	1	0	0	0	752	0	0	0	0	0	0	0	905
DELTA-10_err843949_ms_1_1	NW O OMC	Delta	Delta_10	1	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	2
GAMMA-2_HvCF_A12_ms_1	NW O OMC	Gamma	Gamma_2	1	0	0	0	0	0	0	0	0	33	6	0	0	0	0	0	0	0	1
GAMMA-2_HvCF_C7_ms_6	NW O OMC	Gamma	Gamma_2	2	0	0	0	0	0	0	0	0	43	5	0	0	0	0	0	0	0	3
GAMMA-2_SRR073436_s_1	NW O OMC	Gamma	Gamma_2	2	0	0	0	0	0	0	0	0	39	13	0	0	0	0	0	0	0	4
GAMMA-2_ERR844036_ms_4	NW O OMC	Gamma	Gamma_2	2	0	0	0	0	0	0	0	0	54	4	0	0	0	0	0	0	0	3
GAMMA-2_SRR4295173_ms_22	NW O OMC	Gamma	Gamma_2	1	0	0	0	0	0	0	0	0	57	5	0	0	0	0	0	0	0	1
GAMMA-2_ERR844076_ms_1	NW O OMC	Gamma	Gamma_2	3	0	0	0	0	0	0	0	0	86	9	0	0	0	0	0	0	0	3
GAMMA-2_cs_ms_24_1	NW O OMC	Gamma	Gamma_2	3	0	0	0	0	0	0	0	0	91	9	0	0	0	0	0	0	0	1
DELTA-7_ERR844002_ms_3	NW O OMC	Delta	Delta_7	0	1	0	0	495	0	0	0	0	0	0	0	0	0	3	0	0	7	0
DELTA-7_ERR844016_ms_3	NW O OMC	Delta	Delta_7	0	1	0	0	581	0	0	0	0	0	0	0	0	0	3	0	0	12	0
DELTA-7_cs_ms_23_1	NW O OMC	Delta	Delta_7	0	1	0	0	519	0	0	0	0	0	0	0	0	0	4	0	0	14	0
ALPHA-3_HvCF_A9_ms_7	NW O OMC	Alpha	Alpha_3	0	0	0	1	0	0	0	0	0	325	0	0	0	0	0	2	0	0	0
ALPHA-3_HvCF_B1_ms_8	NW O OMC	Alpha	Alpha_3	0	0	0	1	0	0	0	0	0	375	0	0	0	0	0	4	0	0	0
ALPHA-3_ERR844038_ms_3	NW O OMC	Alpha	Alpha_3	0	0	0	1	0	0	0	0	0	481	0	0	0	0	0	4	0	0	0
ALPHA-3_HvCF_A6_ms_4	NW O OMC	Alpha	Alpha_3	0	0	0	1	0	0	0	0	0	868	0	0	0	0	0	4	0	0	0
ALPHA-3_ERR844018_ms_3	NW O OMC	Alpha	Alpha_3	0	0	0	2	0	0	0	0	0	900	0	0	0	0	0	6	0	0	0
ALPHA-3_eld241-t0_s_3_1	NW O OMC	Alpha	Alpha_3	0	0	0	1	0	0	0	0	0	1175	0	0	0	0	0	8	0	0	0
DELTA-7_err843949_ms_2_1	NW O OMC	Delta	Delta_7	0	0	0	0	473	0	0	0	0	0	0	0	0	0	1	0	0	14	0
DELTA-7_ERR844077_ms_1	NW O OMC	Delta	Delta_7	0	0	0	0	428	0	0	0	0	0	0	0	0	0	3	0	0	5	0
DELTA-7_HvCF_A4_ms_2	NW O OMC	Delta	Delta_7	0	0	0	0	270	0	0	0	0	0	0	0	0	0	3	0	0	5	0
DELTA-7_ERR844044_ms_1	NW O OMC	Delta	Delta_7	0	0	0	0	419	0	0	0	0	0	0	0	0	0	9	0	0	15	0
DELTA-7_SRR073438_s_2	NW O OMC	Delta	Delta_7	0	195	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	402
DELTA-7_ERR844047_ms_3	NW O OMC	Delta	Delta_7	0	23	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	435
ALPHA-4_Fferm_ms_10	NW OMC	Alpha	Alpha_4	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ALPHA-4_HvCF_B3_ms_1	NW OMC	Alpha	Alpha_4	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DELTA-10_ERR844068_ms_1	NW OMC	Delta	Delta_10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
DELTA-10_HvCF_C2_ms_6	NW OMC	Delta	Delta_10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
DELTA-10_ERR844036_ms_2	NW OMC	Delta	Delta_10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0
ALPHA-3_eld314-t0_s_3_1	O	Alpha	Alpha_3	0	0	0	0	0	0	0	509	0	0	0	0	1	0	0	0	0	0	0
BETA-6_ERR843986_ms_1	O	Beta	Beta_6	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
BETA-6_ERR844034_ms_1	O	Beta	Beta_6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0
BETA-6_ERR844058_ms_2	O	Beta	Beta_6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0
BETA-6_eld229-t3_s_3_1	O	Beta	Beta_6	0	0	0	0	0	0	24	0	0	6	0	0	0	0	0	0	0	0	0
BETA-6_ERR844029_ms_3	O	Beta	Beta_6	0	0	0	0	0	0	1	0	0	53	0	0	0	0	0	0	0	0	0
DELTA-8_ERR844050_ms_2	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0
DELTA-8_err843924_ms_2_1	O	Delta	Delta_8	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0
ALPHA-9_ERR975045_s_1	O	Alpha	Alpha_9	0	0	0	0	0	0	0	0	1192	0	0	0	0	0	0	0	0	0	0
ALPHA-3_Sib2_ms_3	O	Alpha	Alpha_3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_HvCF_A5_ms_3	O	Alpha	Alpha_3	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_ERR844040_ms_1	O	Alpha	Alpha_3	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0
BETA-6_ERR844065_ms_1	O	Beta	Beta_6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BETA-6_Fferm_ms_8	O	Beta	Beta_6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BETA-6_HvCF_E4_ms_5	O	Beta	Beta_6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BETA-6_SRR4295173_s_14	O	Beta	Beta_6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
