Genus	Alpha_1_avg	Alpha_3_avg	Alpha_4_avg	Alpha_9_avg	Beta_6_avg	Delta_10_avg	Delta_7_avg	Delta_8_avg	Gamma_2_avg	Undefined_avg	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
O-152	2.08520999	2.314288661	NA	NA	1.567418506	-0.157607853	2.320987888	-0.263241435	1.639320443	3.005437923	-2.04E-01	-4.71E-01	-1.52E+00	-3.27E+00	-2.04E-01	-4.04E+00	-4.72E-01	-3.22E+00	-3.27E+00	-2.04E-01	-4.72E-01	-3.22E+00	-3.27E+00	-3.22E+00	-3.27E+00	-2.62E+00	-2.43E+00	-1.47E+00	-3.89E+00	NA	-3.46E+00	-3.27E+00	-2.62E+00	-2.62E+00	-1.47E+00	-3.89E+00	NA
O-39	NA	NA	-0.77815125	NA	-0.574031268	0.291484678	2.080743458	NA	0.720159303	0.531478917	-1.81E-01	-5.13E-01	-1.69E+00	-2.58E+00	-1.81E-01	-3.66E+00	-5.43E-01	-1.69E+00	-2.58E+00	-1.81E-01	-5.44E-01	-1.69E+00	-2.58E+00	-1.69E+00	-2.58E+00	-4.11E+00	-1.70E+00	-1.20E+00	-2.33E+00	-4.53E+00	-4.92E+00	-2.58E+00	-2.79E+00	-4.11E+00	-1.20E+00	-2.33E+00	-4.53E+00
O-418	NA	NA	NA	NA	NA	0.386460191	NA	NA	NA	NA	-8.49E-02	-9.47E-01	-1.27E+00	-4.57E+00	-8.51E-02	-2.78E+00	-9.55E-01	-3.14E+00	-4.57E+00	-8.49E-02	-9.55E-01	-3.14E+00	-4.57E+00	-3.14E+00	-4.57E+00	NA	-2.16E+00	-2.58E+00	-4.21E+00	NA	-4.17E+00	-4.57E+00	-2.36E+00	NA	-2.58E+00	-4.21E+00	NA
O-420	NA	-1.301029996	NA	NA	NA	0.724631995	NA	NA	NA	NA	-1.97E-01	-4.56E-01	-2.00E+00	-3.01E+00	-1.97E-01	-3.39E+00	-4.64E-01	-2.22E+00	-3.01E+00	-1.97E-01	-4.63E-01	-2.22E+00	-3.01E+00	-2.22E+00	-3.01E+00	NA	-2.14E+00	-1.17E+00	-2.26E+00	NA	-4.50E+00	-3.01E+00	-2.18E+00	NA	-1.17E+00	-2.26E+00	NA
O-434	NA	NA	NA	0.204119983	NA	NA	NA	1.07587861	NA	0.414973348	-2.11E-01	-4.52E-01	-1.52E+00	-3.35E+00	-2.11E-01	-2.85E+00	-4.56E-01	-2.73E+00	-3.35E+00	-2.11E-01	-4.56E-01	-2.73E+00	-3.35E+00	-2.73E+00	-3.35E+00	NA	-2.43E+00	-1.03E+00	-4.53E+00	NA	-4.31E+00	-3.35E+00	-3.75E+00	NA	-1.03E+00	-4.53E+00	NA
O-445	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	-6.14E-01	-1.80E-01	-1.08E+00	-2.87E+00	-6.14E-01	-2.78E+00	-1.85E-01	-2.23E+00	-2.87E+00	-6.14E-01	-1.85E-01	-2.23E+00	-2.87E+00	-2.23E+00	-2.87E+00	-4.64E+00	-1.87E+00	-8.64E-01	-4.04E+00	NA	-2.87E+00	-2.87E+00	-3.18E+00	-4.64E+00	-8.64E-01	-4.04E+00	NA
OMC-124	NA	NA	NA	NA	-0.875061263	NA	-0.790050474	NA	NA	NA	-7.58E-02	-8.50E-01	-1.88E+00	-3.49E+00	-7.58E-02	-3.95E+00	-8.57E-01	-2.68E+00	-3.49E+00	-7.58E-02	-8.57E-01	-2.68E+00	-3.49E+00	-2.68E+00	-3.49E+00	NA	-2.69E+00	-1.48E+00	-1.68E+00	NA	-4.91E+00	-3.49E+00	-3.37E+00	NA	-1.48E+00	-1.68E+00	NA
OMC-125	NA	0.146128036	-0.954242509	NA	NA	NA	-0.422073688	NA	NA	NA	-3.71E-01	-3.78E-01	-8.97E-01	-3.47E+00	-3.70E-01	-3.07E+00	-3.85E-01	-2.28E+00	-3.47E+00	-3.71E-01	-3.85E-01	-2.28E+00	-3.47E+00	-2.28E+00	-3.47E+00	NA	-2.29E+00	-1.51E+00	-2.28E+00	-4.84E+00	-2.56E+00	-3.47E+00	-3.79E+00	NA	-1.51E+00	-2.28E+00	-4.84E+00
OMC-126	NA	NA	NA	NA	NA	-0.759667845	0.075250952	NA	NA	NA	-3.94E-01	-2.80E-01	-1.55E+00	-2.56E+00	-3.94E-01	-2.46E+00	-3.14E-01	-1.44E+00	-2.56E+00	-3.94E-01	-3.14E-01	-1.44E+00	-2.56E+00	-1.44E+00	-2.56E+00	-4.19E+00	-1.53E+00	-1.30E+00	-4.25E+00	-1.92E+00	-1.72E+00	-2.56E+00	-3.38E+00	-4.19E+00	-1.30E+00	-4.25E+00	-1.92E+00
OMC-288	NA	NA	NA	1.437750563	-0.176091259	1.032723845	0.604984544	NA	NA	0.301029996	-2.94E-01	-3.60E-01	-1.28E+00	-3.13E+00	-2.94E-01	-3.02E+00	-3.67E-01	-2.22E+00	-3.13E+00	-2.94E-01	-3.67E-01	-2.22E+00	-3.13E+00	-2.22E+00	-3.13E+00	NA	-1.82E+00	-1.02E+00	-1.93E+00	-3.61E+00	NA	-3.13E+00	-4.58E+00	NA	-1.02E+00	-1.93E+00	-3.61E+00
OMC-446	NA	NA	NA	NA	NA	-1.06069784	2.208789861	NA	0.199572355	-0.096910013	-4.50E-01	-2.30E-01	-1.65E+00	-2.15E+00	-4.50E-01	-2.89E+00	-2.37E-01	-2.10E+00	-2.15E+00	-4.50E-01	-2.37E-01	-2.10E+00	-2.15E+00	-2.10E+00	-2.15E+00	-4.56E+00	-1.65E+00	-1.56E+00	-3.63E+00	NA	-1.85E+00	-2.15E+00	-3.03E+00	-4.56E+00	-1.56E+00	-3.63E+00	NA
