	chao1	observed_otus	shannon	simpson	goods_coverage
23_O-420	1.0	1.0	-0.0	0.0	0.0
240_O-420	1.0	1.0	-0.0	0.0	0.0
241_O-420	3.0	2.0	1.0	0.5	0.0
242_O-420	3.0	2.0	1.0	0.5	0.0
243_O-420	1.0	1.0	-0.0	0.0	0.0
244_O-420	1.0	1.0	-0.0	0.0	0.0
245_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
246_O-420	1.0	1.0	-0.0	0.0	0.0
247_O-420	1.0	1.0	-0.0	0.0	0.0
248_O-420	1.0	1.0	-0.0	0.0	0.0
249_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
24_O-420	1.0	1.0	-0.0	0.0	0.0
250_O-420	3.0	2.0	1.0	0.5	0.0
251_O-420	3.0	2.0	1.0	0.5	0.0
252_O-420	1.0	1.0	-0.0	0.0	0.0
253_O-420	3.0	2.0	1.0	0.5	0.0
254_O-420	1.0	1.0	-0.0	0.0	0.0
255_O-420	3.0	2.0	1.0	0.5	0.0
256_O-420	3.0	2.0	1.0	0.5	0.0
257_O-420	1.0	1.0	-0.0	0.0	0.0
258_O-420	1.0	1.0	-0.0	0.0	0.0
259_O-420	1.0	1.0	-0.0	0.0	0.0
25_O-420	3.0	2.0	1.0	0.5	0.0
260_O-420	1.0	1.0	-0.0	0.0	0.0
261_O-420	1.0	1.0	-0.0	0.0	0.0
262_O-420	3.0	2.0	1.0	0.5	0.0
263_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
264_O-420	3.0	2.0	1.0	0.5	0.0
265_O-420	1.0	1.0	-0.0	0.0	0.0
266_O-420	1.0	1.0	-0.0	0.0	0.0
267_O-420	3.0	2.0	1.0	0.5	0.0
268_O-420	3.0	2.0	1.0	0.5	0.0
269_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
26_O-420	1.0	1.0	-0.0	0.0	0.0
270_O-420	1.0	1.0	-0.0	0.0	0.0
271_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
272_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
273_O-420	3.0	2.0	1.0	0.5	0.0
274_O-420	3.0	2.0	1.0	0.5	0.0
275_O-420	3.0	2.0	1.0	0.5	0.0
276_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
277_O-420	3.0	2.0	1.0	0.5	0.0
278_O-420	3.0	2.0	1.0	0.5	0.0
279_O-420	3.0	2.0	1.0	0.5	0.0
27_O-420	1.0	1.0	-0.0	0.0	0.0
280_O-420	0.0	0.0	nan	nan	nan
281_O-420	3.0	2.0	1.0	0.5	0.0
282_O-420	3.0	2.0	1.0	0.5	0.0
283_O-420	3.0	2.0	1.0	0.5	0.0
284_O-420	0.0	0.0	nan	nan	nan
285_O-420	1.0	1.0	-0.0	0.0	0.0
286_O-420	1.0	1.0	-0.0	0.0	0.0
287_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
288_O-420	1.0	1.0	-0.0	0.0	0.0
289_O-420	3.0	2.0	1.0	0.5	0.0
28_O-420	1.0	1.0	-0.0	0.0	0.0
290_O-420	1.0	1.0	-0.0	0.0	0.0
291_O-420	3.0	2.0	1.0	0.5	0.0
292_O-420	3.0	2.0	1.0	0.5	0.0
293_O-420	1.0	1.0	-0.0	0.0	0.0
294_O-420	3.0	2.0	1.0	0.5	0.0
295_O-420	1.0	1.0	-0.0	0.0	0.0
296_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
297_O-420	1.0	1.0	-0.0	0.0	0.0
298_O-420	0.0	0.0	nan	nan	nan
299_O-420	1.0	1.0	-0.0	0.0	0.0
29_O-420	1.0	1.0	-0.0	0.0	0.0
