# Constructed from biom file																							
#OTU ID	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	taxonomy
ALPHA-1_cs_ms_29_1	18	0	61	0	0	0	0	0	0	5	22	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_cs_ms_29_1
ALPHA-1_eld195-t0_s_2_1	60	0	3	0	0	0	0	0	0	25	104	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_eld195-t0_s_2_1
ALPHA-1_eld229-t3_s_2_1	55	0	6	0	0	0	0	0	0	26	111	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_eld229-t3_s_2_1
ALPHA-1_eld241-t0_s_2_1	62	0	11	0	0	0	0	0	0	44	111	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_eld241-t0_s_2_1
ALPHA-1_eld251-t3_s_1_1	52	0	12	0	0	0	0	0	1	25	111	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_eld251-t3_s_1_1
ALPHA-1_eld314-t0_s_2_1	52	0	4	0	0	0	0	0	0	38	99	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_eld314-t0_s_2_1
ALPHA-1_err843915_ms_2_1	30	0	3	0	0	0	0	0	0	9	57	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_err843915_ms_2_1
ALPHA-1_err843917_ms_1_1	61	0	3	0	0	0	0	0	0	19	104	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_err843917_ms_1_1
ALPHA-1_err843920_ms_4_1	30	0	3	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_err843920_ms_4_1
ALPHA-1_err843922_ms_1_1	14	0	105	0	0	0	0	0	0	5	28	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_err843922_ms_1_1
ALPHA-1_err843936_ms_1_1	58	0	11	0	0	0	0	0	0	35	102	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_err843936_ms_1_1
ALPHA-1_err843966_ms_1_1	37	0	7	0	0	0	0	0	0	18	74	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_err843966_ms_1_1
BETA-6_ERR844029_ms_3	0	0	0	0	0	0	0	1	0	0	53	0	0	0	0	0	0	0	0	0	0	0	f__BETA;g__6;s__BETA-6_ERR844029_ms_3
BETA-6_ERR844030_ms_2	9	0	0	0	0	0	0	26	0	0	209	1	0	0	0	0	0	0	0	0	0	0	f__BETA;g__6;s__BETA-6_ERR844030_ms_2
BETA-6_Fferm_ms_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	f__BETA;g__6;s__BETA-6_Fferm_ms_11
BETA-6_eld298-t0_s_3_1	15	1	0	0	0	0	0	15	0	0	153	2	0	0	0	0	0	0	0	0	0	0	f__BETA;g__6;s__BETA-6_eld298-t0_s_3_1
DELTA-10_ERR844025_ms_1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f__DELTA;g__10;s__DELTA-10_ERR844025_ms_1
GAMMA-2_ERR844036_ms_4	2	0	0	0	0	0	0	0	0	0	54	4	0	0	0	0	0	0	0	0	3	0	f__GAMMA;g__2;s__GAMMA-2_ERR844036_ms_4
GAMMA-2_HvCF_A12_ms_1	1	0	0	0	0	0	0	0	0	0	33	6	0	0	0	0	0	0	0	0	1	0	f__GAMMA;g__2;s__GAMMA-2_HvCF_A12_ms_1
GAMMA-2_HvCF_B6_ms_3	2	0	0	0	0	0	0	0	0	0	41	3	0	0	0	0	0	0	0	0	0	0	f__GAMMA;g__2;s__GAMMA-2_HvCF_B6_ms_3
GAMMA-2_HvCF_C7_ms_6	2	0	0	0	0	0	0	0	0	0	43	5	0	0	0	0	0	0	0	0	3	0	f__GAMMA;g__2;s__GAMMA-2_HvCF_C7_ms_6
GAMMA-2_SRR073436_s_1	2	0	0	0	0	0	0	0	0	0	39	13	0	0	0	0	0	0	0	0	4	0	f__GAMMA;g__2;s__GAMMA-2_SRR073436_s_1
GAMMA-2_cs_ms_24_1	3	0	0	0	0	0	0	0	0	0	91	9	0	0	0	0	0	0	0	0	1	0	f__GAMMA;g__2;s__GAMMA-2_cs_ms_24_1
NO-DEFINIDO_Mexican_CrAssphage	150	0	13	0	0	0	0	0	0	163	4839	0	0	0	0	0	0	0	0	0	0	0	f__NO-DEFINIDO;g__NO-DEFINIDO;s__NO-DEFINIDO_Mexican_CrAssphage
NO-DEFINIDO_YUTIN_CDZK01015469	10	0	0	0	0	0	0	0	0	0	224	17	0	0	0	0	0	0	0	0	4	0	f__NO-DEFINIDO;g__NO-DEFINIDO;s__NO-DEFINIDO_YUTIN_CDZK01015469
DELTA-10_err843949_ms_1_1	1	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	2	2	f__DELTA;g__10;s__DELTA-10_err843949_ms_1_1
GAMMA-2_ERR844076_ms_1	3	0	0	0	0	0	0	0	0	0	86	9	0	0	0	0	0	0	0	0	3	0	f__GAMMA;g__2;s__GAMMA-2_ERR844076_ms_1
GAMMA-2_HvCF_C1_ms_5	1	0	0	1	0	0	0	0	0	0	31	5	0	0	0	0	0	0	0	0	2	0	f__GAMMA;g__2;s__GAMMA-2_HvCF_C1_ms_5
GAMMA-2_SRR4295173_ms_22	1	0	0	0	0	0	0	0	0	0	57	5	0	0	0	0	0	0	0	0	1	0	f__GAMMA;g__2;s__GAMMA-2_SRR4295173_ms_22
GAMMA-2_Sib1_ms_4	1	0	0	1	0	0	0	0	0	0	36	3	0	0	0	0	0	0	0	0	0	0	f__GAMMA;g__2;s__GAMMA-2_Sib1_ms_4
GAMMA-2_cs_ms_21_1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	f__GAMMA;g__2;s__GAMMA-2_cs_ms_21_1
BETA-6_cs_ms_27_1	1	0	0	0	0	0	0	7	0	0	102	1	0	0	0	0	0	0	0	0	0	0	f__BETA;g__6;s__BETA-6_cs_ms_27_1
BETA-6_HvCF_E3_ms_3	1	0	0	0	0	0	0	1	0	0	30	0	0	0	0	0	0	0	0	0	0	0	f__BETA;g__6;s__BETA-6_HvCF_E3_ms_3
DELTA-10_ERR843977_ms_1	0	0	1	0	0	0	10	0	0	0	0	1	1	7	0	0	0	0	0	10	0	0	f__DELTA;g__10;s__DELTA-10_ERR843977_ms_1
DELTA-10_ERR844043_ms_3	0	1	1	0	0	0	10	0	0	0	0	2	7	7	0	0	0	0	0	9	0	0	f__DELTA;g__10;s__DELTA-10_ERR844043_ms_3
DELTA-10_ERR844068_ms_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	f__DELTA;g__10;s__DELTA-10_ERR844068_ms_1
DELTA-7_ERR843978_ms_1	0	108	0	0	0	8	2	159	0	1	435	0	0	0	0	0	0	0	0	3	21	0	f__DELTA;g__7;s__DELTA-7_ERR843978_ms_1
DELTA-7_ERR843993_ms_1	0	1	0	0	0	311	0	0	0	0	1	0	0	0	0	4	0	0	0	4	0	0	f__DELTA;g__7;s__DELTA-7_ERR843993_ms_1
DELTA-7_ERR844002_ms_1	0	64	0	0	0	0	0	1	0	0	0	752	0	0	0	0	0	0	0	0	905	0	f__DELTA;g__7;s__DELTA-7_ERR844002_ms_1
DELTA-7_ERR844016_ms_1	0	396	0	0	0	8	0	334	1	43	2383	0	0	0	0	0	0	0	0	3	51	0	f__DELTA;g__7;s__DELTA-7_ERR844016_ms_1
DELTA-7_ERR844029_ms_1	0	288	0	0	0	7	3	235	0	8	763	0	0	0	0	0	0	0	0	6	59	0	f__DELTA;g__7;s__DELTA-7_ERR844029_ms_1
DELTA-7_ERR844029_ms_2	0	84	0	0	0	0	2	2	0	0	0	905	0	0	0	0	0	0	0	0	898	0	f__DELTA;g__7;s__DELTA-7_ERR844029_ms_2
DELTA-7_ERR844046_ms_1	0	141	0	0	0	11	2	343	1	3	1169	1	0	0	0	0	0	0	0	1	31	0	f__DELTA;g__7;s__DELTA-7_ERR844046_ms_1
DELTA-7_ERR844047_ms_3	0	23	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	435	0	f__DELTA;g__7;s__DELTA-7_ERR844047_ms_3
DELTA-7_ERR844054_ms_1	0	136	0	0	0	13	5	486	1	2	477	0	0	0	0	0	0	0	0	8	70	0	f__DELTA;g__7;s__DELTA-7_ERR844054_ms_1
DELTA-7_ERR844059_ms_1	0	180	0	0	0	1	0	4	0	0	0	12	0	0	0	0	0	0	0	0	10	0	f__DELTA;g__7;s__DELTA-7_ERR844059_ms_1
DELTA-7_ERR844061_ms_3	0	169	0	0	0	22	6	397	2	5	650	0	0	0	0	0	0	0	0	3	74	0	f__DELTA;g__7;s__DELTA-7_ERR844061_ms_3
DELTA-7_ERR844077_ms_2	0	7	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	f__DELTA;g__7;s__DELTA-7_ERR844077_ms_2
DELTA-7_HvCF_A10_ms_8	0	69	0	0	0	0	0	0	3	0	0	699	0	0	0	0	0	0	0	0	751	0	f__DELTA;g__7;s__DELTA-7_HvCF_A10_ms_8
DELTA-7_HvCF_C12_ms_7	0	5	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	13	0	0	1	0	f__DELTA;g__7;s__DELTA-7_HvCF_C12_ms_7
DELTA-7_HvCF_C7_ms_5	0	1	1	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	f__DELTA;g__7;s__DELTA-7_HvCF_C7_ms_5
DELTA-7_HvCF_D4_ms_4	0	77	0	0	0	33	0	765	0	1	649	0	0	0	0	0	0	0	0	4	90	0	f__DELTA;g__7;s__DELTA-7_HvCF_D4_ms_4
DELTA-7_Inf125_s_2	0	60	0	0	0	44	3	1377	1	1	164	0	0	0	0	0	6	0	0	8	184	0	f__DELTA;g__7;s__DELTA-7_Inf125_s_2
DELTA-7_SRR073435_s_1	0	2210	0	0	0	0	1	2	0	0	0	47	0	0	0	0	0	0	0	0	54	0	f__DELTA;g__7;s__DELTA-7_SRR073435_s_1
DELTA-7_SRR073438_s_2	0	195	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	402	0	f__DELTA;g__7;s__DELTA-7_SRR073438_s_2
DELTA-7_SRR4295172_ms_4	0	2	0	3	0	0	0	0	1	0	0	5	0	0	0	1	0	0	37	0	0	0	f__DELTA;g__7;s__DELTA-7_SRR4295172_ms_4
DELTA-7_SRX020504_s_3	0	1396	0	0	0	0	1	2	1	0	2	17	0	0	0	0	0	0	0	0	21	0	f__DELTA;g__7;s__DELTA-7_SRX020504_s_3
DELTA-7_Sib2_ms_1	0	85	0	0	0	0	0	0	3	0	0	581	0	0	0	0	0	0	0	0	740	0	f__DELTA;g__7;s__DELTA-7_Sib2_ms_1
DELTA-7_cs_ms_17_1	0	49	0	0	0	36	6	1259	0	0	258	0	0	0	0	0	0	0	0	4	161	0	f__DELTA;g__7;s__DELTA-7_cs_ms_17_1
DELTA-7_eld195-t0_s_1_1	0	75	0	0	0	0	0	0	1	0	1	678	0	0	0	0	0	0	0	0	759	0	f__DELTA;g__7;s__DELTA-7_eld195-t0_s_1_1
DELTA-7_eld235-t6_s_1_1	0	50	0	0	0	53	4	1334	3	0	184	0	0	0	0	0	0	0	0	11	167	0	f__DELTA;g__7;s__DELTA-7_eld235-t6_s_1_1
DELTA-7_eld251-t3_s_2_1	0	417	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	17	0	f__DELTA;g__7;s__DELTA-7_eld251-t3_s_2_1
DELTA-7_eld298-t0_s_4_1	0	183	0	0	0	19	5	371	2	6	611	0	0	0	0	0	0	0	0	5	72	0	f__DELTA;g__7;s__DELTA-7_eld298-t0_s_4_1
DELTA-7_err843926_ms_1_1	0	193	0	0	0	1	0	4	0	0	1	13	0	0	0	0	0	0	0	0	11	0	f__DELTA;g__7;s__DELTA-7_err843926_ms_1_1
DELTA-7_HvCF_E4_ms_4	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	1	0	1	7	0	0	0	f__DELTA;g__7;s__DELTA-7_HvCF_E4_ms_4
DELTA-7_cs_ms_23_1	0	1	0	0	0	519	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	f__DELTA;g__7;s__DELTA-7_cs_ms_23_1
ALPHA-4_ERR844016_ms_2	0	0	0	59	0	22	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__4;s__ALPHA-4_ERR844016_ms_2
DELTA-7_ERR844016_ms_3	0	1	0	0	0	581	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	0	f__DELTA;g__7;s__DELTA-7_ERR844016_ms_3
ALPHA-4_ERR844065_ms_4	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__4;s__ALPHA-4_ERR844065_ms_4
DELTA-7_ERR844002_ms_3	0	1	0	0	0	495	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	f__DELTA;g__7;s__DELTA-7_ERR844002_ms_3
DELTA-10_ERR844002_ms_2	0	0	4	0	0	0	14	0	0	0	0	2	1	15	0	0	0	0	1	15	0	0	f__DELTA;g__10;s__DELTA-10_ERR844002_ms_2
DELTA-10_ERR844018_ms_4	0	0	3	0	0	0	11	0	0	0	0	2	2	2	0	0	0	0	0	49	0	0	f__DELTA;g__10;s__DELTA-10_ERR844018_ms_4
DELTA-10_ERR844030_ms_1	0	0	2	0	0	0	16	0	0	0	0	3	4	10	0	0	0	0	0	22	0	0	f__DELTA;g__10;s__DELTA-10_ERR844030_ms_1
DELTA-10_ERR844035_ms_1	0	0	1	0	0	0	13	0	0	0	0	3	8	14	0	0	0	0	0	13	0	0	f__DELTA;g__10;s__DELTA-10_ERR844035_ms_1
DELTA-10_HvCF_A4_ms_1	0	0	1	0	0	0	11	0	0	0	0	5	2	9	0	0	0	0	1	12	0	0	f__DELTA;g__10;s__DELTA-10_HvCF_A4_ms_1
DELTA-10_HvCF_B2_ms_1	0	0	0	0	0	0	4	0	0	0	0	2	1	4	0	0	0	0	0	8	0	0	f__DELTA;g__10;s__DELTA-10_HvCF_B2_ms_1
DELTA-10_HvCF_C2_ms_6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	f__DELTA;g__10;s__DELTA-10_HvCF_C2_ms_6
DELTA-10_ERR844047_ms_2	0	0	1	0	0	0	22	0	0	0	0	4	5	7	0	0	0	0	0	26	0	0	f__DELTA;g__10;s__DELTA-10_ERR844047_ms_2
DELTA-10_ERR844072_ms_1	0	0	1	0	0	0	14	0	0	0	0	2	3	7	0	0	0	0	0	17	0	0	f__DELTA;g__10;s__DELTA-10_ERR844072_ms_1
DELTA-10_ERR844071_ms_2	0	0	1	0	0	0	5	0	0	0	0	1	1	3	0	0	0	0	0	5	0	0	f__DELTA;g__10;s__DELTA-10_ERR844071_ms_2
DELTA-10_SRR073438_s_6	0	0	1	0	0	0	31	0	0	0	0	12	17	22	0	0	0	0	1	11	0	0	f__DELTA;g__10;s__DELTA-10_SRR073438_s_6
DELTA-10_cs_ms_25_1	0	0	0	0	0	0	3	0	0	0	0	2	1	4	0	0	0	0	0	11	0	0	f__DELTA;g__10;s__DELTA-10_cs_ms_25_1
DELTA-10_ERR844058_ms_4	0	0	0	0	0	0	8	0	0	0	0	0	1	5	0	0	0	0	0	10	0	0	f__DELTA;g__10;s__DELTA-10_ERR844058_ms_4
DELTA-10_cs_ms_18_1	0	0	0	0	0	0	5	0	0	0	0	1	2	4	0	0	0	0	1	15	0	0	f__DELTA;g__10;s__DELTA-10_cs_ms_18_1
ALPHA-4_Fferm_ms_10	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	f__ALPHA;g__4;s__ALPHA-4_Fferm_ms_10
ALPHA-3_ERR844018_ms_3	0	0	0	2	0	0	0	0	0	0	900	0	0	0	0	0	0	6	0	0	0	0	f__ALPHA;g__3;s__ALPHA-3_ERR844018_ms_3
ALPHA-3_ERR844038_ms_3	0	0	0	1	0	0	0	0	0	0	481	0	0	0	0	0	0	4	0	0	0	0	f__ALPHA;g__3;s__ALPHA-3_ERR844038_ms_3
ALPHA-3_HvCF_A6_ms_4	0	0	0	1	0	0	0	0	0	0	868	0	0	0	0	0	0	4	0	0	0	0	f__ALPHA;g__3;s__ALPHA-3_HvCF_A6_ms_4
ALPHA-3_HvCF_A9_ms_7	0	0	0	1	0	0	0	0	0	0	325	0	0	0	0	0	0	2	0	0	0	0	f__ALPHA;g__3;s__ALPHA-3_HvCF_A9_ms_7
ALPHA-3_HvCF_B1_ms_8	0	0	0	1	0	0	0	0	0	0	375	0	0	0	0	0	0	4	0	0	0	0	f__ALPHA;g__3;s__ALPHA-3_HvCF_B1_ms_8
ALPHA-3_eld241-t0_s_3_1	0	0	0	1	0	0	0	0	0	0	1175	0	0	0	0	0	0	8	0	0	0	0	f__ALPHA;g__3;s__ALPHA-3_eld241-t0_s_3_1
